t,fz1,fz2
0.04,0.1983642578125,0.0457763671875
0.08,0.152587890625,-0.06103515625
0.12,0.1220703125,-0.0152587890625
0.16,0.1678466796875,-0.0152587890625
0.2,0.18310546875,-0.0457763671875
0.24,0.18310546875,-0.091552734375
0.28,0.2593994140625,-0.0762939453125
0.32,0.30517578125,-0.0152587890625
0.36,0.3204345703125,-0.1220703125
0.4,0.3814697265625,-0.18310546875
0.44,0.335693359375,-0.1220703125
0.48,0.396728515625,0.18310546875
0.52,0.3814697265625,0.1678466796875
0.56,0.5645751953125,-0.18310546875
0.6,0.579833984375,-0.091552734375
0.64,0.5340576171875,-0.0762939453125
0.68,0.5950927734375,-0.0457763671875
0.72,0.5340576171875,-0.030517578125
0.76,0.518798828125,0.1068115234375
0.8,0.732421875,-0.030517578125
0.84,0.8544921875,-0.274658203125
0.88,0.7171630859375,0.091552734375
0.92,0.7781982421875,-0.0762939453125
0.96,0.8087158203125,-0.18310546875
1.0,0.9002685546875,0.2593994140625
1.04,0.9307861328125,-0.06103515625
1.08,1.0528564453125,-0.1068115234375
1.12,1.0986328125,0.1373291015625
1.16,1.15966796875,0.2899169921875
1.2,1.0833740234375,-0.1678466796875
1.24,0.946044921875,0.030517578125
1.28,0.8697509765625,0.030517578125
1.32,0.9918212890625,-0.091552734375
1.36,0.9918212890625,0.1068115234375
1.4000000000000001,0.8087158203125,0.0152587890625
1.44,0.9765625,-0.1220703125
1.48,1.15966796875,0.0152587890625
1.52,1.190185546875,-0.213623046875
1.56,1.03759765625,0.1220703125
1.6,0.9613037109375,-0.1373291015625
1.6400000000000001,0.9002685546875,0.2288818359375
1.68,0.762939453125,-0.091552734375
1.72,1.0223388671875,0.1373291015625
1.76,1.0986328125,-0.0457763671875
1.8,1.373291015625,-0.1068115234375
1.84,1.3275146484375,-0.030517578125
1.8800000000000001,1.2054443359375,-0.030517578125
1.92,1.46484375,-0.0152587890625
1.96,1.4039306640625,-0.091552734375
2.0,1.1138916015625,-0.213623046875
2.04,1.2054443359375,-0.1068115234375
2.08,1.23583984375,-0.06103515625
2.12,1.28173828125,-0.0152587890625
2.16,1.28173828125,-0.0457763671875
2.2,1.3275146484375,-0.0
2.24,1.40380859375,0.0457763671875
2.2800000000000002,1.46484375,0.1068115234375
2.32,1.4190673828125,0.030517578125
2.36,1.52587890625,0.030517578125
2.4,1.3427734375,-0.0
2.44,1.556396484375,0.0762939453125
2.48,1.373291015625,-0.0152587890625
2.52,1.312255859375,0.091552734375
2.56,1.312255859375,0.1678466796875
2.6,1.556396484375,0.335693359375
2.64,1.9073486328125,0.54931640625
2.68,2.2125244140625,0.67138671875
2.72,2.532958984375,0.9002685546875
2.7600000000000002,2.532958984375,1.2054443359375
2.8000000000000003,2.9296875,1.3885498046875
2.84,3.1585693359375,1.922607421875
2.88,3.7078857421875,2.197265625
2.92,4.180908203125,2.838134765625
2.96,4.608154296875,3.2196044921875
3.0,5.37109375,3.72314453125
3.04,5.584716796875,4.1046142578125
3.08,5.8441162109375,4.6234130859375
3.12,6.1187744140625,4.791259765625
3.16,6.3629150390625,4.974365234375
3.2,6.3323974609375,5.157470703125
3.24,6.3323974609375,5.0201416015625
3.2800000000000002,6.439208984375,5.2032470703125
3.3200000000000003,6.4697265625,5.1422119140625
3.36,6.3629150390625,5.096435546875
3.4,6.256103515625,4.974365234375
3.44,6.0882568359375,4.7760009765625
3.48,5.706787109375,4.6539306640625
3.52,5.706787109375,4.2572021484375
3.56,5.4473876953125,4.1961669921875
3.6,5.06591796875,3.84521484375
3.64,5.126953125,3.84521484375
3.68,4.8828125,3.5858154296875
3.72,4.8065185546875,3.4637451171875
3.7600000000000002,4.82177734375,3.5858154296875
3.8000000000000003,5.035400390625,3.9215087890625
3.84,5.401611328125,3.9215087890625
3.88,5.4779052734375,4.2266845703125
3.92,5.6304931640625,4.3792724609375
3.96,5.859375,4.5318603515625
4.0,5.8135986328125,4.57763671875
4.04,5.8135986328125,4.6539306640625
4.08,5.706787109375,4.8065185546875
4.12,5.706787109375,4.7149658203125
4.16,5.5389404296875,4.791259765625
4.2,5.31005859375,4.547119140625
4.24,5.2947998046875,4.4708251953125
4.28,5.096435546875,4.5013427734375
4.32,5.0506591796875,4.57763671875
4.36,4.9591064453125,4.5013427734375
4.4,4.94384765625,4.21142578125
4.4399999999999995,4.9285888671875,4.45556640625
4.48,4.791259765625,4.4708251953125
4.52,4.9896240234375,4.39453125
4.56,4.8828125,4.45556640625
4.6,4.7760009765625,4.4403076171875
4.64,4.913330078125,4.4708251953125
4.68,4.852294921875,4.8370361328125
4.72,4.791259765625,4.7760009765625
4.76,5.0201416015625,5.2337646484375
4.8,4.8370361328125,5.126953125
4.84,5.0506591796875,5.2642822265625
4.88,5.4473876953125,5.157470703125
4.92,5.4779052734375,5.5389404296875
4.96,5.4168701171875,5.2032470703125
5.0,4.974365234375,5.0506591796875
5.04,5.0506591796875,5.2947998046875
5.08,5.3253173828125,4.8675537109375
5.12,5.462646484375,4.7454833984375
5.16,4.9896240234375,4.638671875
5.2,4.39453125,5.1116943359375
5.24,5.1116943359375,4.6844482421875
5.28,5.0201416015625,4.5318603515625
5.32,4.9591064453125,4.547119140625
5.36,5.157470703125,5.0506591796875
5.4,4.6539306640625,5.218505859375
5.4399999999999995,4.638671875,5.3863525390625
5.48,4.45556640625,5.340576171875
5.52,5.2032470703125,5.584716796875
5.5600000000000005,5.151611328125,5.157470703125
5.6,5.7373046875,4.791259765625
5.64,5.462646484375,4.57763671875
5.68,5.3558349609375,4.69970703125
5.72,4.5928955078125,4.425048828125
5.76,5.1422119140625,5.18798828125
5.8,4.82177734375,4.9285888671875
5.84,4.974365234375,5.0201416015625
5.88,5.2490234375,4.8065185546875
5.92,5.462646484375,4.0130615234375
5.96,5.8135986328125,4.180908203125
6.0,5.2947998046875,5.3253173828125
6.04,4.852294921875,5.8135986328125
6.08,4.730224609375,5.37109375
6.12,4.974365234375,5.157470703125
6.16,5.4931640625,4.852294921875
6.2,4.69970703125,4.8828125
6.24,4.7607421875,4.94384765625
6.279999999999999,4.7760009765625,4.608154296875
6.32,5.2490234375,4.8675537109375
6.359999999999999,4.913330078125,4.5623779296875
6.4,5.0048828125,4.1961669921875
6.4399999999999995,4.9896240234375,4.3792724609375
6.48,4.913330078125,4.2572021484375
6.52,4.852294921875,4.5623779296875
6.5600000000000005,5.096435546875,4.45556640625
6.6,5.126953125,4.5318603515625
6.640000000000001,4.7607421875,5.3253173828125
6.68,4.6844482421875,5.3558349609375
6.720000000000001,5.5084228515625,4.730224609375
6.76,5.67626953125,4.608154296875
6.8,5.157470703125,5.462646484375
6.84,5.096435546875,5.6610107421875
6.88,5.4931640625,5.523681640625
6.92,5.126953125,5.584716796875
6.96,5.401611328125,5.4168701171875
7.0,4.7454833984375,5.0811767578125
7.04,4.913330078125,5.5999755859375
7.08,4.5166015625,5.340576171875
7.12,4.3792724609375,4.8675537109375
7.16,4.2572021484375,4.8065185546875
7.2,4.425048828125,4.974365234375
7.24,4.302978515625,5.0506591796875
7.28,3.72314453125,5.0201416015625
7.32,4.94384765625,4.486083984375
7.359999999999999,5.035400390625,4.150390625
7.4,4.9896240234375,4.57763671875
7.4399999999999995,5.1116943359375,4.5623779296875
7.48,5.035400390625,4.9591064453125
7.52,5.2642822265625,4.94384765625
7.5600000000000005,5.0201416015625,5.2032470703125
7.6,5.1116943359375,5.767822265625
7.640000000000001,5.035400390625,5.8135986328125
7.68,5.6304931640625,5.157470703125
7.720000000000001,5.9814453125,5.218505859375
7.76,5.3863525390625,4.4708251953125
7.8,5.37109375,5.1727294921875
7.84,5.06591796875,5.18798828125
7.88,5.157470703125,4.669189453125
7.92,5.340576171875,5.035400390625
7.96,4.6844482421875,4.6234130859375
8.0,4.6539306640625,4.8675537109375
8.04,4.94384765625,4.69970703125
8.08,4.5623779296875,5.279541015625
8.120000000000001,4.69970703125,4.913330078125
8.16,4.9591064453125,4.730224609375
8.2,4.94384765625,4.69970703125
8.24,5.035400390625,4.7607421875
8.280000000000001,5.2642822265625,5.0811767578125
8.32,5.6304931640625,4.94384765625
8.36,5.523681640625,4.8828125
8.4,5.218505859375,5.3253173828125
8.440000000000001,5.43212890625,5.2032470703125
8.48,5.2337646484375,5.340576171875
8.52,5.2337646484375,5.615234375
8.56,4.9591064453125,5.0048828125
8.6,5.0506591796875,4.9591064453125
8.64,4.852294921875,4.9285888671875
8.68,4.94384765625,4.82177734375
8.719999999999999,4.5928955078125,5.035400390625
8.76,4.8828125,4.7149658203125
8.8,5.06591796875,4.5928955078125
8.84,4.6844482421875,4.5318603515625
8.879999999999999,4.5166015625,4.8065185546875
8.92,4.608154296875,4.669189453125
8.96,4.791259765625,4.7454833984375
9.0,4.8065185546875,4.8370361328125
9.04,5.06591796875,4.9285888671875
9.08,5.3558349609375,5.0048828125
9.120000000000001,5.096435546875,5.3253173828125
9.16,4.9591064453125,5.1116943359375
9.2,5.3558349609375,5.18798828125
9.24,5.889892578125,5.5084228515625
9.280000000000001,5.615234375,5.7373046875
9.32,5.0811767578125,5.462646484375
9.36,5.462646484375,4.8675537109375
9.4,5.1116943359375,4.9285888671875
9.440000000000001,4.974365234375,4.8675537109375
9.48,5.3863525390625,4.69970703125
9.52,5.279541015625,5.035400390625
9.56,4.791259765625,5.1727294921875
9.6,5.2947998046875,4.8828125
9.64,4.7149658203125,5.0811767578125
9.68,5.06591796875,4.7760009765625
9.719999999999999,5.1422119140625,4.547119140625
9.76,4.4097900390625,4.9896240234375
9.8,5.126953125,4.180908203125
9.84,4.82177734375,4.425048828125
9.879999999999999,4.94384765625,4.3487548828125
9.92,4.7454833984375,5.2032470703125
9.96,5.7220458984375,5.2490234375
10.0,5.401611328125,5.43212890625
10.04,5.615234375,5.157470703125
10.08,5.3558349609375,5.157470703125
10.120000000000001,5.4473876953125,5.2032470703125
10.16,5.37109375,5.3253173828125
10.2,5.4779052734375,5.0811767578125
10.24,5.0811767578125,4.6844482421875
10.280000000000001,4.8675537109375,4.8065185546875
10.32,5.615234375,4.730224609375
10.36,5.2642822265625,4.69970703125
10.4,4.913330078125,5.06591796875
10.440000000000001,4.913330078125,5.0048828125
10.48,4.7607421875,4.7454833984375
10.52,4.8370361328125,4.5928955078125
10.56,4.5928955078125,4.4097900390625
10.600000000000001,4.9896240234375,4.9896240234375
10.64,4.3182373046875,4.33349609375
10.68,4.302978515625,4.9896240234375
10.719999999999999,5.1116943359375,4.638671875
10.76,5.06591796875,5.401611328125
10.8,5.279541015625,5.18798828125
10.84,5.37109375,5.401611328125
10.879999999999999,5.1422119140625,5.2337646484375
10.92,5.523681640625,5.2947998046875
10.96,5.462646484375,5.31005859375
11.0,4.974365234375,4.7607421875
11.04,4.94384765625,4.8675537109375
11.08,4.4097900390625,5.0048828125
11.120000000000001,4.9896240234375,4.8065185546875
11.16,4.364013671875,4.486083984375
11.2,4.57763671875,4.4708251953125
11.24,4.8828125,4.2572021484375
11.280000000000001,4.6234130859375,4.9591064453125
11.32,5.31005859375,4.6844482421875
11.36,5.218505859375,5.3558349609375
11.4,5.31005859375,5.2642822265625
11.440000000000001,5.37109375,5.4931640625
11.48,4.974365234375,5.55419921875
11.52,5.4168701171875,5.2337646484375
11.56,5.0048828125,5.5389404296875
11.600000000000001,5.157470703125,5.0201416015625
11.64,4.974365234375,5.31005859375
11.68,4.8065185546875,5.279541015625
11.719999999999999,5.2337646484375,4.9896240234375
11.76,5.0048828125,4.9591064453125
11.8,4.8828125,4.82177734375
11.84,4.6234130859375,5.06591796875
11.879999999999999,5.279541015625,4.7760009765625
11.92,5.035400390625,5.279541015625
11.96,4.8828125,5.4168701171875
12.0,5.3863525390625,4.7149658203125
12.04,5.1116943359375,5.279541015625
12.080000000000002,4.7454833984375,5.0506591796875
12.120000000000001,5.126953125,4.8828125
12.16,4.9285888671875,4.608154296875
12.2,4.6844482421875,5.0811767578125
12.239999999999998,4.791259765625,4.4708251953125
12.280000000000001,4.974365234375,4.6539306640625
12.32,4.913330078125,4.69970703125
12.36,4.9285888671875,5.096435546875
12.399999999999999,5.1727294921875,5.18798828125
12.440000000000001,5.2947998046875,4.8828125
12.48,4.608154296875,5.3863525390625
12.52,5.18798828125,4.5928955078125
12.559999999999999,4.913330078125,4.8828125
12.600000000000001,5.0811767578125,5.18798828125
12.64,5.2947998046875,4.9896240234375
12.68,4.7760009765625,5.0201416015625
12.719999999999999,4.7149658203125,5.0811767578125
12.760000000000002,4.82177734375,4.6539306640625
12.8,4.5166015625,4.7149658203125
12.84,5.2032470703125,4.5928955078125
12.879999999999999,4.69970703125,5.1422119140625
12.920000000000002,5.1727294921875,5.1116943359375
12.96,5.523681640625,4.9285888671875
13.0,5.035400390625,5.0506591796875
13.04,5.5694580078125,4.6844482421875
13.080000000000002,4.9591064453125,5.218505859375
13.120000000000001,4.730224609375,4.852294921875
13.16,5.0506591796875,4.82177734375
13.2,4.364013671875,4.608154296875
13.239999999999998,4.5166015625,4.3792724609375
13.280000000000001,4.8370361328125,4.638671875
13.32,4.3182373046875,5.2337646484375
13.36,5.0048828125,5.035400390625
13.399999999999999,5.157470703125,5.218505859375
13.440000000000001,5.06591796875,5.1727294921875
13.48,5.401611328125,5.2337646484375
13.52,5.43212890625,5.2490234375
13.559999999999999,5.31005859375,5.3863525390625
13.600000000000001,5.2642822265625,5.035400390625
13.64,5.8135986328125,4.7607421875
13.68,4.852294921875,5.6915283203125
13.719999999999999,5.67626953125,5.4168701171875
13.760000000000002,5.4779052734375,6.439208984375
13.8,5.1116943359375,5.6304931640625
13.84,5.1116943359375,5.035400390625
13.879999999999999,4.8370361328125,5.1422119140625
13.920000000000002,4.730224609375,4.486083984375
13.96,4.57763671875,4.547119140625
14.0,4.547119140625,4.241943359375
14.04,4.3487548828125,4.1961669921875
14.080000000000002,4.3487548828125,4.4097900390625
14.120000000000001,4.547119140625,4.1961669921875
14.16,4.3792724609375,4.547119140625
14.2,4.57763671875,5.035400390625
14.239999999999998,5.2947998046875,4.5013427734375
14.280000000000001,5.4779052734375,4.669189453125
14.32,5.2947998046875,5.2947998046875
14.36,5.584716796875,5.18798828125
14.399999999999999,5.92041015625,5.7373046875
14.440000000000001,5.859375,5.6915283203125
14.48,5.767822265625,5.4473876953125
14.52,5.6915283203125,5.55419921875
14.559999999999999,5.7373046875,5.5084228515625
14.600000000000001,5.340576171875,5.2642822265625
14.64,5.4168701171875,4.8828125
14.68,4.730224609375,5.1116943359375
14.719999999999999,4.57763671875,4.791259765625
14.760000000000002,4.4403076171875,4.5166015625
14.8,4.4708251953125,4.150390625
14.84,4.1961669921875,4.058837890625
14.879999999999999,4.6539306640625,4.33349609375
14.920000000000002,5.06591796875,4.608154296875
14.96,5.401611328125,4.8675537109375
15.0,5.2337646484375,5.5694580078125
15.04,5.2947998046875,5.5999755859375
15.080000000000002,5.5694580078125,5.6304931640625
15.120000000000001,5.5694580078125,5.2490234375
15.16,5.645751953125,5.523681640625
15.2,5.7830810546875,5.67626953125
15.239999999999998,4.9896240234375,5.462646484375
15.280000000000001,5.4779052734375,5.279541015625
15.32,5.7373046875,5.279541015625
15.36,5.462646484375,4.9591064453125
15.399999999999999,4.638671875,5.2337646484375
15.440000000000001,4.4097900390625,4.8370361328125
15.48,4.9591064453125,4.0435791015625
15.52,4.8065185546875,4.0435791015625
15.559999999999999,4.8828125,4.3792724609375
15.600000000000001,4.57763671875,4.638671875
15.64,4.730224609375,4.7454833984375
15.68,4.8980712890625,4.974365234375
15.719999999999999,4.8980712890625,4.8675537109375
15.760000000000002,5.2947998046875,4.8980712890625
15.8,5.0506591796875,4.8828125
15.84,5.4473876953125,5.157470703125
15.879999999999999,5.3863525390625,5.218505859375
15.920000000000002,5.6610107421875,5.18798828125
15.96,5.79833984375,5.645751953125
16.0,5.218505859375,5.767822265625
16.04,4.791259765625,5.340576171875
16.080000000000002,4.5318603515625,4.974365234375
16.12,4.486083984375,4.8675537109375
16.16,4.5013427734375,4.69970703125
16.2,4.6995849609375,4.2877197265625
16.240000000000002,4.608154296875,4.4097900390625
16.28,4.8065185546875,4.730224609375
16.32,4.9896240234375,4.57763671875
16.36,5.1727294921875,4.852294921875
16.4,5.523681640625,5.0201416015625
16.44,5.615234375,5.0201416015625
16.48,5.706787109375,5.035400390625
16.52,5.9661865234375,5.4168701171875
16.56,5.5084228515625,5.7525634765625
16.6,5.401611328125,5.4473876953125
16.64,5.4473876953125,5.401611328125
16.68,4.913330078125,5.0811767578125
16.72,4.6539306640625,5.035400390625
16.76,4.974365234375,4.8675537109375
16.8,4.5928955078125,4.69970703125
16.84,4.913330078125,4.974365234375
16.88,5.0506591796875,4.6539306640625
16.92,5.0201416015625,5.0048828125
16.96,5.4779052734375,5.0811767578125
17.0,5.31005859375,5.2493896484375
17.04,5.2337646484375,5.157470703125
17.080000000000002,5.3558349609375,5.2032470703125
17.12,5.06591796875,5.18798828125
17.16,5.0811767578125,5.096435546875
17.2,5.462646484375,5.035400390625
17.240000000000002,5.2490234375,5.096435546875
17.28,5.2642822265625,5.0506591796875
17.32,5.4779052734375,5.2032470703125
17.36,5.6304931640625,4.94384765625
17.4,5.4168701171875,5.0201416015625
17.44,5.340576171875,5.2642822265625
17.48,5.523681640625,5.2642822265625
17.52,5.18798828125,5.3863525390625
17.56,5.096435546875,5.0201416015625
17.6,4.9591064453125,4.82177734375
17.64,4.5928955078125,5.126953125
17.68,4.69970703125,5.1727294921875
17.72,4.57763671875,5.0811767578125
17.76,4.791259765625,4.8065185546875
17.8,4.8370361328125,4.9285888671875
17.84,5.584716796875,5.157470703125
17.88,5.2337646484375,4.9285888671875
17.92,5.218505859375,4.8828125
17.96,5.3558349609375,4.9591064453125
18.0,5.4779052734375,5.2337646484375
18.04,5.157470703125,5.6915283203125
18.080000000000002,5.2032470703125,5.340576171875
18.12,5.035400390625,5.1422119140625
18.16,5.18798828125,5.4168701171875
18.2,4.9896240234375,5.279541015625
18.240000000000002,5.0201416015625,4.8980712890625
18.28,5.096435546875,5.035400390625
18.32,4.9896240234375,4.8675537109375
18.36,5.035400390625,4.669189453125
18.4,5.126953125,4.8675537109375
18.44,4.7607421875,4.7454833984375
18.48,4.5318603515625,4.791259765625
18.52,5.035400390625,4.730224609375
18.56,4.7149658203125,4.57763671875
18.6,4.6844482421875,4.7607421875
18.64,5.1422119140625,4.7607421875
18.68,5.0201416015625,4.94384765625
18.72,5.279541015625,5.035400390625
18.76,5.584716796875,5.31005859375
18.8,6.0577392578125,5.2947998046875
18.84,5.950927734375,5.2947998046875
18.88,5.5389404296875,5.218505859375
18.92,5.6915283203125,5.2947998046875
18.96,5.7373046875,5.340576171875
19.0,5.6915283203125,5.340576171875
19.04,5.462646484375,5.218505859375
19.080000000000002,5.5084228515625,5.340576171875
19.12,5.2947998046875,5.4779052734375
19.16,5.0048828125,5.3253173828125
19.2,5.06591796875,5.2032470703125
19.240000000000002,4.669189453125,4.669189453125
19.28,5.1727294921875,4.7454833984375
19.32,4.8980712890625,4.5623779296875
19.36,4.82177734375,4.669189453125
19.4,4.94384765625,4.4097900390625
19.44,4.425048828125,4.3182373046875
19.48,4.5013427734375,4.33349609375
19.52,4.608154296875,4.364013671875
19.56,4.6234130859375,4.3792724609375
19.6,4.730224609375,4.547119140625
19.64,4.6539306640625,4.69970703125
19.68,4.9591064453125,4.913330078125
19.72,4.8828125,5.0506591796875
19.76,5.55419921875,5.31005859375
19.8,5.6915283203125,5.615234375
19.84,5.615234375,5.584716796875
19.88,5.767822265625,5.8135986328125
19.92,5.9051513671875,6.0882568359375
19.96,6.011962890625,5.5694580078125
20.0,5.5084228515625,5.31005859375
20.040000000000003,5.5389404296875,4.94384765625
20.080000000000002,5.5694580078125,5.1727294921875
20.12,5.1727294921875,5.0201416015625
20.16,5.0201416015625,5.3558349609375
20.200000000000003,4.8675537109375,5.1116943359375
20.240000000000002,5.157470703125,4.638671875
20.28,4.82177734375,4.8370361328125
20.32,4.8828125,4.8828125
20.36,5.2642822265625,4.94384765625
20.400000000000002,5.1116943359375,4.6539306640625
20.44,5.157470703125,4.8828125
20.48,5.3253173828125,5.1422119140625
20.52,5.3863525390625,5.0506591796875
20.560000000000002,5.43212890625,5.1422119140625
20.6,5.2490234375,5.2337646484375
20.64,5.218505859375,5.0201416015625
20.68,5.2032470703125,4.6539306640625
20.720000000000002,4.9591064453125,4.9896240234375
20.76,5.34033203125,5.2337646484375
20.8,5.8135986328125,5.3558349609375
20.84,5.3558349609375,5.37109375
20.880000000000003,5.401611328125,5.4168701171875
20.92,5.5694580078125,5.37109375
20.96,5.035400390625,5.0201416015625
21.0,5.2032470703125,5.1422119140625
21.040000000000003,5.3253173828125,4.913330078125
21.080000000000002,5.157470703125,4.8065185546875
21.12,5.18798828125,4.9591064453125
21.16,5.0506591796875,4.94384765625
21.200000000000003,5.5389404296875,5.035400390625
21.240000000000002,5.4168701171875,5.0811767578125
21.28,5.18798828125,5.1727294921875
21.32,4.8675537109375,5.0506591796875
